Conversion Block Name                                                           	Avg Time(ms)	Avg User(ms)	Avg Sys(ms)	Total Ctx Sw
RGB24 to UYVY - bt.601 - SSE2 - avg resampling                                  	  4.766696	  4.745020	  0.030870	         0
RGB24 to UYVY - bt.709 - SSE2 - avg resampling                                  	  4.767883	  4.748580	  0.028520	         0
RGB24 to UYVY - FR - NON-SSE - fast resampling                                  	 10.560191	 10.530670	  0.038100	         0
RGB24 to UYVY - bt.601 - NON-SSE - fast resampling                              	 10.354453	 10.320340	  0.042600	         2
RGB24 to UYVY - bt.709 - NON-SSE - fast resampling                              	 10.563830	 10.528660	  0.043830	         0
RGB24 to UYVY - FR - NON-SSE - avg resampling                                   	 13.623608	 13.586840	  0.045210	         0
RGB24 to UYVY - bt.601 - NON-SSE - avg resampling                               	 13.599492	 13.564630	  0.043390	         0
RGB24 to UYVY - bt.709 - NON-SSE - avg resampling                               	 13.613043	 13.578360	  0.043460	         0

RGB24 to YUV422P - FR - SSE2/SSSE3 - fast resampling                            	  1.812810	  1.798250	  0.023950	         0
RGB24 to YUV422P - bt.601 - SSE2/SSSE3 - fast resampling                        	  1.836357	  1.821540	  0.024260	         0
RGB24 to YUV422P - bt.709 - SSE2/SSSE3 - fast resampling                        	  1.837191	  1.821510	  0.025030	         0
RGB24 to YUV422P - FR - SSE2/SSSE3 - avg resampling                             	  2.446141	  2.430310	  0.025180	         0
RGB24 to YUV422P - bt.601 - SSE2/SSSE3 - avg resampling                         	  2.517363	  2.501780	  0.025020	         0
RGB24 to YUV422P - bt.709 - SSE2/SSSE3 - avg resampling                         	  2.518566	  2.503430	  0.024490	         0
RGB24 to YUV422P - FR - SSE2 - fast resampling                                  	  4.151503	  4.133320	  0.027400	         0
RGB24 to YUV422P - bt.601 - SSE2 - fast resampling                              	  4.118095	  4.098300	  0.029270	         0
RGB24 to YUV422P - bt.709 - SSE2 - fast resampling                              	  4.122406	  4.102420	  0.029140	         0
RGB24 to YUV422P - FR - SSE2 - avg resampling                                   	  4.556597	  4.538840	  0.026870	         0
RGB24 to YUV422P - bt.601 - SSE2 - avg resampling                               	  4.503156	  4.483110	  0.029070	         0
RGB24 to YUV422P - bt.709 - SSE2 - avg resampling                               	  4.510984	  4.489530	  0.030480	         0
RGB24 to YUV422P - FR - NON-SSE - fast resampling                               	 11.443080	 11.415930	  0.035890	         0
RGB24 to YUV422P - bt.601 - NON-SSE - fast resampling                           	 11.463136	 11.429720	  0.042060	         0
RGB24 to YUV422P - bt.709 - NON-SSE - fast resampling                           	 11.442486	 11.409070	  0.042180	         0
RGB24 to YUV422P - FR - NON-SSE - avg resampling                                	 14.096007	 14.062160	  0.042340	         0
RGB24 to YUV422P - bt.601 - NON-SSE - avg resampling                            	 14.090215	 14.055020	  0.043530	         0
RGB24 to YUV422P - bt.709 - NON-SSE - avg resampling                            	 14.099785	 14.061020	  0.047120	         0

RGB24 to YUV420P - FR - SSE2/SSSE3 - fast resampling                            	  1.892307	  1.877390	  0.024120	         0
RGB24 to YUV420P - bt.601 - SSE2/SSSE3 - fast resampling                        	  1.912101	  1.896600	  0.024620	         0
RGB24 to YUV420P - bt.709 - SSE2/SSSE3 - fast resampling                        	  1.947623	  1.933730	  0.022830	         0
RGB24 to YUV420P - FR - SSE2 - fast resampling                                  	  3.994443	  3.976790	  0.026600	         0
RGB24 to YUV420P - bt.601 - SSE2 - fast resampling                              	  4.033942	  4.018150	  0.024820	         0
RGB24 to YUV420P - bt.709 - SSE2 - fast resampling                              	  4.028389	  4.011680	  0.025280	         0
RGB24 to YUV420P - FR - NON-SSE - fast resampling                               	 10.123210	 10.093510	  0.037900	         0
RGB24 to YUV420P - bt.601 - NON-SSE - fast resampling                           	 10.899677	 10.871280	  0.036850	         0
RGB24 to YUV420P - bt.709 - NON-SSE - fast resampling                           	 10.901819	 10.870370	  0.039670	         0

RGB24 to v210 - Fr - SSE2/SSSE3/SSE41 - fast resampling                         	  3.023969	  3.004130	  0.029060	         0
RGB24 to v210 - bt.601 - SSE2/SSSE3/SSE41 - fast resampling                     	  3.006357	  2.988260	  0.027380	         0
RGB24 to v210 - bt.709 - SSE2/SSSE3/SSE41 - fast resampling                     	  3.026181	  3.008160	  0.027310	         0
RGB24 to v210 - FR - SSE2/SSSE3/SSE41 - avg resampling                          	  3.692720	  3.674070	  0.027990	         0
RGB24 to v210 - bt.601 - SSE2/SSSE3/SSE41 - avg resampling                      	  3.715391	  3.696380	  0.028240	         0
RGB24 to v210 - bt.709 - SSE2/SSSE3/SSE41 - avg resampling                      	  3.711363	  3.692770	  0.027820	         0
RGB24 to v210 - FR - SSE2/SSSE3 - fast resampling                               	  3.070650	  3.050570	  0.029330	         0
RGB24 to v210 - bt.601 - SSE2/SSSE3 - fast resampling                           	  3.077732	  3.058350	  0.028660	         0
RGB24 to v210 - bt.709 - SSE2/SSSE3 - fast resampling                           	  3.072948	  3.056610	  0.025620	         0
RGB24 to v210 - FR - SSE2/SSSE3 - avg resampling                                	  3.810527	  3.792560	  0.027380	         0
RGB24 to v210 - bt.601 - SSE2/SSSE3 - avg resampling                            	  3.767887	  3.748520	  0.028700	         0
RGB24 to v210 - bt.709 - SSE2/SSSE3 - avg resampling                            	  3.733662	  3.716300	  0.026500	         0
RGB24 to v210 - FR - NON-SSE - fast resampling                                  	  9.503970	  9.478040	  0.034730	         0
RGB24 to v210 - bt.601 - NON-SSE - fast resampling                              	  9.711221	  9.683620	  0.036200	         0
RGB24 to v210 - bt.709 - NON-SSE - fast resampling                              	  9.714412	  9.688080	  0.035490	         0
RGB24 to v210 - FR - NON-SSE - avg resampling                                   	 13.528769	 13.493260	  0.044150	         0
RGB24 to v210 - bt.601 - NON-SSE - avg resampling                               	 13.749235	 13.714200	  0.043740	         0
RGB24 to v210 - bt.709 - NON-SSE - avg resampling                               	 13.736546	 13.702330	  0.042950	         0

BGR24 to YUYV - FR - SSE2/SSSE3 - fast resampling                               	  1.697387	  1.682660	  0.024330	         0
BGR24 to YUYV - bt.601 - SSE2/SSSE3 - fast resampling                           	  1.720003	  1.705370	  0.024150	         0
BGR24 to YUYV - bt.709 - SSE2/SSSE3 - fast resampling                           	  1.721143	  1.706110	  0.024570	         0
BGR24 to YUYV - FR - SSE2/SSSE3 - avg resampling                                	  2.320255	  2.304880	  0.024930	         0
BGR24 to YUYV - bt.601 - SSE2/SSSE3 - avg resampling                            	  2.427394	  2.411470	  0.025470	         0
BGR24 to YUYV - bt.709 - SSE2/SSSE3 - avg resampling                            	  2.427111	  2.410920	  0.025750	         0
BGR24 to YUYV - FR - SSE2 - fast resampling                                     	  4.104593	  4.082390	  0.031470	         0
BGR24 to YUYV - bt.601 - SSE2 - fast resampling                                 	  4.167616	  4.148380	  0.028490	         0
BGR24 to YUYV - bt.709 - SSE2 - fast resampling                                 	  4.167983	  4.149640	  0.027660	         0
BGR24 to YUYV - FR - SSE2 - avg resampling                                      	  4.991508	  4.971770	  0.028910	         0
BGR24 to YUYV - bt.601 - SSE2 - avg resampling                                  	  4.773948	  4.754230	  0.028930	         0
