Conversion Block Name                                                           	Avg Time(ms)	Avg User(ms)	Avg Sys(ms)	Total Ctx Sw
RGB24 to UYVY - FR - SSE2/SSSE3 - avg resampling                                	  1.993455	  1.960130	  0.000000	         1
RGB24 to UYVY - bt.601 - SSE2/SSSE3 - avg resampling                            	  2.036003	  2.040130	  0.000000	         3
RGB24 to UYVY - bt.709 - SSE2/SSSE3 - avg resampling                            	  2.030476	  2.000110	  0.000000	         3
RGB24 to UYVY - FR - SSE2 - fast resampling                                     	  3.516334	  3.440210	  0.080010	         2
RGB24 to UYVY - bt.601 - SSE2 - fast resampling                                 	  3.581565	  3.600230	  0.000000	         0
RGB24 to UYVY - bt.709 - SSE2 - fast resampling                                 	  3.583856	  3.560230	  0.000000	         3
RGB24 to UYVY - FR - SSE2 - avg resampling                                      	  4.069451	  4.080260	  0.000000	         2
RGB24 to UYVY - bt.601 - SSE2 - avg resampling                                  	  4.156594	  4.160250	  0.000000	         2
RGB24 to UYVY - bt.709 - SSE2 - avg resampling                                  	  4.168641	  4.160260	  0.000000	         1
RGB24 to UYVY - FR - NON-SSE - fast resampling                                  	 10.782174	 10.840680	  0.000000	         2
RGB24 to UYVY - bt.601 - NON-SSE - fast resampling                              	 10.774183	 10.720660	  0.040000	         2
RGB24 to UYVY - bt.709 - NON-SSE - fast resampling                              	 10.777244	 10.760660	  0.000000	         2
RGB24 to UYVY - FR - NON-SSE - avg resampling                                   	 12.087117	 12.120750	  0.000000	         3
RGB24 to UYVY - bt.601 - NON-SSE - avg resampling                               	 12.091909	 12.040760	  0.000000	         2
RGB24 to UYVY - bt.709 - NON-SSE - avg resampling                               	 12.073249	 12.040760	  0.000000	         4

RGB24 to YUV422P - FR - SSE2/SSSE3 - fast resampling                            	  1.516679	  1.400090	  0.040010	         2
RGB24 to YUV422P - bt.601 - SSE2/SSSE3 - fast resampling                        	  1.538370	  1.560100	  0.000000	         1
RGB24 to YUV422P - bt.709 - SSE2/SSSE3 - fast resampling                        	  1.535050	  1.520100	  0.000000	         0
RGB24 to YUV422P - FR - SSE2/SSSE3 - avg resampling                             	  2.036710	  2.040130	  0.000000	         1
RGB24 to YUV422P - bt.601 - SSE2/SSSE3 - avg resampling                         	  2.067710	  2.080130	  0.000000	         1
RGB24 to YUV422P - bt.709 - SSE2/SSSE3 - avg resampling                         	  2.076488	  2.000130	  0.000000	         1
RGB24 to YUV422P - FR - SSE2 - fast resampling                                  	  3.712954	  3.720240	  0.000000	         2
RGB24 to YUV422P - bt.601 - SSE2 - fast resampling                              	  3.670118	  3.720230	  0.000000	         2
RGB24 to YUV422P - bt.709 - SSE2 - fast resampling                              	  3.684985	  3.720230	  0.000000	         1
RGB24 to YUV422P - FR - SSE2 - avg resampling                                   	  4.048508	  4.040250	  0.000000	         3
RGB24 to YUV422P - bt.601 - SSE2 - avg resampling                               	  4.175273	  4.200260	  0.000000	         2
RGB24 to YUV422P - bt.709 - SSE2 - avg resampling                               	  4.174111	  4.120260	  0.000000	         2
RGB24 to YUV422P - FR - NON-SSE - fast resampling                               	 13.997712	 14.000870	  0.000000	         1
RGB24 to YUV422P - bt.601 - NON-SSE - fast resampling                           	 14.012077	 13.960870	  0.000000	         3
RGB24 to YUV422P - bt.709 - NON-SSE - fast resampling                           	 14.000778	 14.000880	  0.000000	         5
RGB24 to YUV422P - FR - NON-SSE - avg resampling                                	 15.180709	 15.160950	  0.000000	         4
RGB24 to YUV422P - bt.601 - NON-SSE - avg resampling                            	 15.186985	 15.200950	  0.000000	         5
RGB24 to YUV422P - bt.709 - NON-SSE - avg resampling                            	 15.195261	 15.120950	  0.000000	         4

RGB24 to YUV420P - FR - SSE2/SSSE3 - fast resampling                            	  1.481374	  1.480100	  0.000000	         0
RGB24 to YUV420P - bt.601 - SSE2/SSSE3 - fast resampling                        	  1.523017	  1.560100	  0.000000	         1
RGB24 to YUV420P - bt.709 - SSE2/SSSE3 - fast resampling                        	  1.516790	  1.480100	  0.040010	         1
RGB24 to YUV420P - FR - SSE2 - fast resampling                                  	  3.466872	  3.400220	  0.040000	         0
RGB24 to YUV420P - bt.601 - SSE2 - fast resampling                              	  3.473132	  3.400220	  0.000000	         0
RGB24 to YUV420P - bt.709 - SSE2 - fast resampling                              	  3.470914	  3.480220	  0.000000	         2
RGB24 to YUV420P - FR - NON-SSE - fast resampling                               	 11.096346	 11.080690	  0.000000	         5
RGB24 to YUV420P - bt.601 - NON-SSE - fast resampling                           	 11.097875	 11.040700	  0.000000	         4
RGB24 to YUV420P - bt.709 - NON-SSE - fast resampling                           	 11.108237	 11.120700	  0.000000	         0

RGB24 to v210 - FR - SSE2/SSSE3/SSE41 - fast resampling                         	  2.483326	  2.440160	  0.000000	         1
RGB24 to v210 - bt.601 - SSE2/SSSE3/SSE41 - fast resampling                     	  2.524934	  2.480160	  0.040000	         2
RGB24 to v210 - bt.709 - SSE2/SSSE3/SSE41 - fast resampling                     	  2.520719	  2.520160	  0.000000	         5
RGB24 to v210 - FR - SSE2/SSSE3/SSE41 - avg resampling                          	  3.021469	  2.920180	  0.000000	         2
RGB24 to v210 - bt.601 - SSE2/SSSE3/SSE41 - avg resampling                      	  3.070767	  3.080190	  0.000000	         2
RGB24 to v210 - bt.709 - SSE2/SSSE3/SSE41 - avg resampling                      	  3.057798	  3.080190	  0.000000	         0
RGB24 to v210 - FR - SSE2/SSSE3 - fast resampling                               	  2.572012	  2.600160	  0.000000	         0
RGB24 to v210 - bt.601 - SSE2/SSSE3 - fast resampling                           	  2.623091	  2.640160	  0.000000	         0
RGB24 to v210 - bt.709 - SSE2/SSSE3 - fast resampling                           	  2.626054	  2.600170	  0.000000	         1
RGB24 to v210 - FR - SSE2/SSSE3 - avg resampling                                	  3.193769	  3.200200	  0.000000	         0
RGB24 to v210 - bt.601 - SSE2/SSSE3 - avg resampling                            	  3.253783	  3.280210	  0.000000	         0
RGB24 to v210 - bt.709 - SSE2/SSSE3 - avg resampling                            	  3.253483	  3.280210	  0.000000	         0
RGB24 to v210 - FR - NON-SSE - fast resampling                                  	 11.123674	 11.080690	  0.000000	         3
RGB24 to v210 - bt.601 - NON-SSE - fast resampling                              	 10.579696	 10.520660	  0.000000	         4
RGB24 to v210 - bt.709 - NON-SSE - fast resampling                              	 10.598932	 10.600660	  0.000000	         3
RGB24 to v210 - FR - NON-SSE - avg resampling                                   	 14.440383	 14.400910	  0.000000	         5
RGB24 to v210 - bt.601 - NON-SSE - avg resampling                               	 14.243554	 14.240890	  0.000000	         4
RGB24 to v210 - bt.709 - NON-SSE - avg resampling                               	 14.288844	 14.160880	  0.000000	         3

BGR24 to YUYV - FR - SSE2/SSSE3 - fast resampling                               	  1.527478	  1.480100	  0.040000	         2
BGR24 to YUYV - bt.601 - SSE2/SSSE3 - fast resampling                           	  1.557055	  1.560090	  0.000000	         1
BGR24 to YUYV - bt.709 - SSE2/SSSE3 - fast resampling                           	  1.559585	  1.520090	  0.000000	         1
BGR24 to YUYV - FR - SSE2/SSSE3 - avg resampling                                	  1.985641	  1.960120	  0.040010	         2
BGR24 to YUYV - bt.601 - SSE2/SSSE3 - avg resampling                            	  2.018989	  2.040130	  0.000000	         2
BGR24 to YUYV - bt.709 - SSE2/SSSE3 - avg resampling                            	  2.032919	  2.040130	  0.000000	         1
BGR24 to YUYV - FR - SSE2 - fast resampling                                     	  3.542952	  3.560220	  0.000000	         2
BGR24 to YUYV - bt.601 - SSE2 - fast resampling                                 	  3.553669	  3.480220	  0.040000	         1
BGR24 to YUYV - bt.709 - SSE2 - fast resampling                                 	  3.561214	  3.520220	  0.000000	         1
BGR24 to YUYV - FR - SSE2 - avg resampling                                      	  4.030256	  4.040250	  0.000000	         2
BGR24 to YUYV - bt.601 - SSE2 - avg resampling                                  	  4.048516	  4.080260	  0.000000	         2
